Date,Price,Open,High,Low,Vol.,Change %
01/24/2014,96.64,97.37,97.80,96.25,239.67K,-0.70%
01/23/2014,97.32,96.69,97.84,96.41,274.08K,0.61%
01/22/2014,96.73,95.20,96.89,95.12,252.35K,1.83%
01/21/2014,94.99,94.00,95.23,93.43,35.63K,1.12%
01/20/2014,93.93,94.31,94.31,93.66,,-0.46%
01/17/2014,94.37,94.17,94.94,93.94,119.89K,0.44%
01/16/2014,93.96,94.29,94.64,93.60,165.14K,-0.22%
01/15/2014,94.17,92.65,94.64,92.43,263.30K,1.71%
01/14/2014,92.59,91.51,92.88,91.50,243.47K,0.86%
01/13/2014,91.80,92.83,92.88,91.43,212.21K,-0.99%
01/10/2014,92.72,92.30,93.38,91.99,255.99K,1.16%
01/09/2014,91.66,92.58,92.93,91.24,255.78K,-0.73%
01/08/2014,92.33,93.96,94.18,92.26,244.86K,-1.43%
01/07/2014,93.67,93.60,94.22,93.35,177.18K,0.26%
01/06/2014,93.43,94.18,94.59,93.20,189.38K,-0.56%
01/03/2014,93.96,95.47,95.74,93.86,215.52K,-1.55%
01/02/2014,95.44,98.50,98.97,95.34,251.25K,-3.30%
01/01/2014,98.70,98.61,98.76,98.54,,0.28%
